name,location,cuisines,votes,rating,cost_for_two
Food Point,Kumaraswamy Layout,"North Indian, Chinese",32,3.5,300.0
Swarga Ruchi,Basavanagudi,South Indian,10,3.3,200.0
Kolkata King,Basavanagudi,"Fast Food, Rolls",6,3.4,300.0
Sandwich Mama's And Frozen Monster,Jayanagar,"Ice Cream, Beverages, Fast Food",53,3.8,250.0
New Rajadhani Spicy,Kumaraswamy Layout,North Indian,67,3.7,700.0
Big Mishra Pedha,Jayanagar,Mithai,23,2.9,250.0
VEGeatz,Banashankari,"South Indian, North Indian",19,3.4,200.0
Foodizo,Banashankari,"Desserts, Fast Food, Continental",24,3.6,300.0
Food Springs,Jayanagar,"South Indian, Chinese",232,4.0,400.0
Chung's Chinese Corner,Jayanagar,Chinese,221,3.9,700.0
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,"Italian, Fast Food, Salad, BBQ",1063,4.1,1200.0
Goli Vada Pav No. 1,Basavanagudi,Street Food,93,3.7,200.0
Ragoo's,Jayanagar,"Italian, Pizza, North Indian, Salad",233,3.9,800.0
Pure & Natural,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",211,3.9,500.0
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices",1778,4.0,200.0
Sip n Dine,Vijay Nagar,"North Indian, Chinese, South Indian",218,3.6,800.0
Cafe Mondo,Basavanagudi,"Cafe, Italian, Beverages",514,3.7,600.0
Jalpaan,Jayanagar,"North Indian, Continental",866,4.0,900.0
Kataria's Pakwan,Kumaraswamy Layout,North Indian,96,3.2,400.0
Juicy Momos,Banashankari,"Tibetan, Momos",80,3.5,250.0
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",73,4.0,300.0
Anand Sweets and Savouries,Jayanagar,"Mithai, Street Food",84,3.9,400.0
Chicken Hunt,Banashankari,"South Indian, North Indian, Chinese, Biryani",88,3.5,350.0
Swadesh Tadka,Banashankari,"North Indian, Chinese, Beverages",179,3.5,600.0
Cane-O-La,Basavanagudi,Juices,61,3.8,100.0
New Biryani Mane,Uttarahalli,"North Indian, Chinese, Biryani, South Indian",128,3.7,450.0
Upahara Darshini,Jayanagar,"South Indian, North Indian, Chinese",339,3.8,400.0
Karnataka Bhel House,Basavanagudi,Street Food,449,4.1,100.0
Sreeraj Lassi Bar,Jayanagar,Beverages,210,4.1,150.0
Juice Junction Food Court,Basavanagudi,"Juices, South Indian, Chinese, Fast Food",57,3.7,200.0
Bunt's Biriyani Palace,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",213,3.0,400.0
Chai Point,Jayanagar,"Tea, Beverages, Fast Food",208,3.2,250.0
Janahaar,Banashankari,South Indian,70,3.8,100.0
Redberrys,Basavanagudi,"Cafe, Italian",219,4.0,600.0
Utsav,Banashankari,"North Indian, Street Food",59,3.7,200.0
Meat And Eat,Banashankari,"Fast Food, Burger",10,3.1,500.0
Snacks Bite,Kumaraswamy Layout,"Fast Food, Momos",9,3.0,400.0
The Spice Saga,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",124,3.7,750.0
Dakshin Cafe,Kumaraswamy Layout,South Indian,19,3.7,100.0
Kaulige Millet Corner,Basavanagudi,"Healthy Food, South Indian",4,3.3,150.0
Ifruit Ice Cream,Kumaraswamy Layout,"Desserts, Ice Cream",4,3.3,150.0
Havmor,Basavanagudi,"Ice Cream, Desserts",21,3.8,200.0
Grand Food,Banashankari,"South Indian, Bakery, Chinese",8,3.4,250.0
Dining Hut,Kumaraswamy Layout,"North Indian, Chinese, South Indian",10,3.5,400.0
Desi Swaad,Kumaraswamy Layout,North Indian,10,3.5,400.0
Yummy Momos,Kumaraswamy Layout,"Momos, Tibetan, Chinese",4,3.2,200.0
Masale Daan,Banashankari,North Indian,4,3.1,350.0
Grow Fit,JP Nagar,"Healthy Food, North Indian, Thai",16,3.6,500.0
Sandwich Hub,Jayanagar,"Fast Food, Sandwich",12,3.4,300.0
Udupi Sri Krishna Cafe,Jayanagar,"North Indian, South Indian",14,3.9,600.0
Starlite Bakery & Fastfood,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",0,3.7,300.0
Veganbreak24x7,City Market,"South Indian, Chinese, Continental, Biryani",5,2.8,199.0
Aadhya Hotel,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",5,3.3,800.0
Dodda Mane Baaduta,Banashankari,"North Indian, South Indian, Chinese, Biryani",15,3.5,250.0
Swadd Kitchen,Basavanagudi,"North Indian, Fast Food",4,3.4,500.0
Happy Chopsticks,Basavanagudi,"Chinese, Fast Food",17,3.6,300.0
Udupi Upachar,Banashankari,"South Indian, North Indian",6,3.3,500.0
Davanagere Benne Dose Hut,Banashankari,South Indian,10,3.4,100.0
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",775,4.1,800.0
Subz,Jayanagar,"North Indian, South Indian",2022,4.2,1000.0
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",150,4.2,600.0
Mint and Mustard,Basavanagudi,"North Indian, Chinese",232,4.0,750.0
Chinese Square,Basavanagudi,Chinese,38,3.9,200.0
Punjabi Raswada,Jayanagar,North Indian,431,3.5,800.0
Vinny's,Banashankari,"Pizza, Italian, Continental, Desserts",2115,4.2,800.0
Chetty's Corner,Uttarahalli,"Fast Food, Burger, Pizza",30,3.4,200.0
Kapoor's Cafe,Jayanagar,North Indian,150,4.2,800.0
Donne Biryani & Kabab Corner,Kumaraswamy Layout,"Chinese, Biryani",12,3.3,200.0
Sukh Sagar,Jayanagar,"South Indian, North Indian, Chinese, Street Food",155,3.8,450.0
S M V Snacks Corner,Basavanagudi,Fast Food,33,3.7,200.0
Andhra Ruchulu,Jayanagar,"Andhra, Biryani, North Indian, Chinese",666,4.1,1000.0
Steaming Mugs,Basavanagudi,Cafe,240,3.9,700.0
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",918,3.8,800.0
Rajathadri Food Fort,Jayanagar,"South Indian, North Indian, Chinese, Street Food",465,4.0,600.0
Brew Meister,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",970,4.1,1500.0
Rasoi,Banashankari,"North Indian, Chinese",128,3.3,300.0
Mr. Singh Da Dhaba,Kumaraswamy Layout,"North Indian, Chinese",241,3.6,300.0
Kababs N Biryani,Banashankari,South Indian,22,3.4,200.0
Ayodhya Upachar,Banashankari,"South Indian, North Indian, Chinese, Street Food",734,4.3,200.0
Biriyani Mane,Jayanagar,"North Indian, Biryani",130,3.8,400.0
Cafe Ajfan,Jayanagar,"Cafe, Continental, Beverages",261,4.2,700.0
Brundhavana Food Point,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Street Food, Beverages",191,4.0,300.0
SLV Corner Restaurant,Basavanagudi,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",364,4.1,550.0
Hotel New Karavali,Banashankari,"Mangalorean, South Indian, North Indian",133,3.8,300.0
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",888,3.9,750.0
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",13,3.1,400.0
Roti Ghar,Basavanagudi,"North Indian, Chinese, South Indian",750,3.9,500.0
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",164,4.2,500.0
Kettle & Kegs,Banashankari,"Tea, Beverages",6,3.2,200.0
Baisakhi,Basavanagudi,North Indian,527,3.8,500.0
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",345,4.3,400.0
Poonam Sweets,Banashankari,Mithai,356,4.4,150.0
XO Belgian Waffle,Banashankari,"Desserts, Beverages",17,3.7,400.0
Old Mumbai Ice Cream,Banashankari,Ice Cream,38,3.9,150.0
Cake of the Day,Banashankari,Bakery,78,3.7,150.0
Amma's Pastries,Banashankari,Bakery,60,3.8,400.0
Kanti Sweets,Banashankari,"Mithai, Street Food",115,4.0,400.0
Sugar Rush,Banashankari,"Bakery, Desserts",39,3.8,300.0
Polar Bear,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",116,3.9,400.0
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",918,3.8,800.0
Anand Sweets and Savouries,Banashankari,"Mithai, Street Food",46,3.7,400.0
Ibaco,Banashankari,Desserts,41,3.9,300.0
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",144,3.8,700.0
The Lassi and Juice Park,Banashankari,"Juices, Desserts",28,3.8,150.0
Stoned Monkey,Banashankari,"Desserts, Ice Cream",860,4.3,500.0
Parimala Sweets,Banashankari,"Mithai, Street Food",14,3.5,200.0
The Big O Bakes,Banashankari,"Bakery, Desserts",66,4.0,300.0
Shree Mahalakshmi Sweets,Banashankari,"Mithai, Street Food",8,3.2,100.0
Keventers,Banashankari,"Desserts, Beverages, Ice Cream",54,3.7,400.0
Dessert Rose,Banashankari,Desserts,7,3.5,500.0
Thanco's Natural Ice Creams,Banashankari,Ice Cream,9,3.2,300.0
Corner Stone,Banashankari,"Beverages, Juices, Desserts, Italian",42,3.6,300.0
Kaggis,Banashankari,"Fast Food, Bakery",64,3.8,250.0
Cocoa Bakes,Banashankari,"Bakery, Desserts",14,3.6,350.0
Floured-Baked With Love,Banashankari,Bakery,45,3.8,400.0
CAFE NOVA,Banashankari,"Cafe, Bakery",11,3.2,600.0
Cakes & Slices,Banashankari,"Bakery, Desserts",13,3.5,300.0
Arun Ice Cream,Banashankari,"Ice Cream, Desserts",7,3.4,150.0
Just Bake,Banashankari,"Bakery, Desserts",8,3.4,400.0
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",25,2.9,200.0
Sweet N Swirl,Banashankari,"Desserts, Ice Cream",17,3.2,150.0
Sweet Truth,Banashankari,"Bakery, Desserts",35,3.9,500.0
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",70,3.9,400.0
Sri Venkateshwara Sweet Meat Stall,Basavanagudi,"Mithai, Street Food, North Indian, Chinese",98,4.0,400.0
Baskin Robbins,Basavanagudi,"Ice Cream, Desserts",25,3.7,250.0
Redberrys,Basavanagudi,"Cafe, Italian",219,4.0,600.0
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",73,4.0,300.0
Srinivasa Brahmins Bakery,Basavanagudi,"Bakery, Street Food",16,3.6,150.0
Jain Bakes,Basavanagudi,"Bakery, Desserts",8,3.6,250.0
Cake Ghar,Basavanagudi,Bakery,15,3.8,400.0
KC Das - Sweet Spot,Basavanagudi,"Mithai, Street Food",46,3.6,200.0
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",13,3.3,300.0
Cake Yard,Basavanagudi,Desserts,9,3.3,250.0
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",43,4.0,250.0
A2B Veg - Adyar Ananda Bhavan,Basavanagudi,"South Indian, North Indian, Chinese, Street Food",97,2.7,400.0
Sri Krishna Sweets,Basavanagudi,"Mithai, Desserts",22,3.7,250.0
Cake Art,Basavanagudi,Bakery,15,3.5,400.0
Asha Sweets Centre,Basavanagudi,Fast Food,27,3.6,250.0
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",888,3.9,750.0
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",349,4.0,1200.0
Mini Punjabi Dhaba,Banashankari,North Indian,287,4.2,350.0
Onesta,Banashankari,"Pizza, Cafe, Italian",2556,4.6,600.0
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",354,4.2,800.0
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",775,4.1,800.0
Vinny's,Banashankari,"Pizza, Italian, Continental, Desserts",2115,4.2,800.0
Jcubez,Banashankari,Finger Food,977,3.8,1300.0
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",868,4.1,1200.0
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",324,4.0,700.0
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",787,4.1,800.0
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",504,4.2,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,402,4.1,500.0
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",150,4.2,600.0
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",164,4.2,500.0
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",244,4.2,800.0
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",771,4.0,450.0
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",1647,4.2,600.0
1947,Banashankari,"North Indian, Chinese",808,4.0,850.0
Caf-Eleven,Banashankari,"Cafe, Continental",424,4.0,450.0
Thamboola,Banashankari,"North Indian, Chinese, Continental",135,3.9,800.0
Havyaka Mess,Banashankari,South Indian,28,3.9,300.0
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",918,3.8,800.0
Cafe Vivacity,Banashankari,Cafe,90,3.8,650.0
Chung Wah,Banashankari,"Chinese, Momos, Thai, Vietnamese",519,3.9,900.0
Vietnamese Kitchen,Banashankari,Vietnamese,105,3.6,700.0
Blue Wings Bar & Restaurant,Banashankari,"North Indian, Chinese",43,3.7,700.0
Anand Sweets and Savouries,Banashankari,"Mithai, Street Food",46,3.7,400.0
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",133,3.9,800.0
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",144,3.8,700.0
T3H Cafe,Banashankari,"Cafe, Italian, American",93,3.9,300.0
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",42,3.8,300.0
Dal Tadkaa,Banashankari,North Indian,247,2.5,500.0
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",13,3.1,400.0
New Imperial Restaurant,Banashankari,"North Indian, Chinese",39,3.7,450.0
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",62,3.0,400.0
Green Gardenia,Banashankari,"North Indian, Chinese",160,3.8,700.0
Parimala Sweets,Banashankari,"Mithai, Street Food",14,3.5,200.0
Vaishali Deluxe,Banashankari,"North Indian, Chinese",42,3.8,700.0
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",119,3.1,700.0
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",129,3.6,600.0
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",62,3.3,800.0
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",24,3.6,600.0
Nandhini Deluxe,Banashankari,North Indian,283,2.6,600.0
Corner Stone,Banashankari,"Beverages, Juices, Desserts, Italian",42,3.6,300.0
Karavali Fish Center,Banashankari,"Mangalorean, Chinese",10,3.4,300.0
Ayda Persian Kitchen,Banashankari,"North Indian, Iranian",39,3.7,950.0
J Spice,Banashankari,"North Indian, Chinese",59,3.8,750.0
Swadesh Tadka,Banashankari,"North Indian, Chinese, Beverages",179,3.5,600.0
Iyer's Tiffin Centre,Banashankari,"South Indian, Chinese",62,3.8,150.0
Kydz Adda,Banashankari,Continental,6,3.4,500.0
K27 - The Pub,Banashankari,"Chinese, North Indian",30,3.1,1000.0
Kotian Karavali Restaurant,Banashankari,"South Indian, Biryani",10,3.5,300.0
Food Box Cafe,Banashankari,"Mughlai, North Indian, Chinese",36,3.6,500.0
Hide Out Cafe,Banashankari,Cafe,31,3.7,300.0
CAFE NOVA,Banashankari,"Cafe, Bakery",11,3.2,600.0
Darbar,Banashankari,"North Indian, Chinese",98,3.0,800.0
Sri Ganesh Juice and Chats,Banashankari,"Juices, Street Food",18,3.5,150.0
Manifest Cafe,Banashankari,"South Indian, North Indian, Chinese",10,3.5,500.0
Beijing Bites,Banashankari,"Chinese, Thai",128,2.7,850.0
The Pizzeria,Banashankari,"Pizza, Italian, Salad",45,2.8,800.0
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",119,3.2,400.0
Lassi Stop,Banashankari,"Beverages, Fast Food, Juices",12,3.4,150.0
Sea Green Cafe,Banashankari,"Cafe, Fast Food, Beverages",4,3.3,500.0
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",41,3.5,400.0
Pizza Hut,Banashankari,"Pizza, Fast Food",405,3.7,750.0
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",388,3.9,650.0
Taaza Thindi,Banashankari,South Indian,651,4.7,100.0
Ayodhya Upachar,Banashankari,"South Indian, North Indian, Chinese, Street Food",734,4.3,200.0
Petoo,Banashankari,North Indian,21,3.7,450.0
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",1047,4.0,450.0
KFC,Banashankari,"Burger, Fast Food",505,3.8,450.0
Five Star Chicken,Banashankari,"Fast Food, Burger",55,3.6,200.0
Gama Gama,Banashankari,South Indian,264,3.9,200.0
Hotel New Karavali,Banashankari,"Mangalorean, South Indian, North Indian",133,3.8,300.0
McDonald's,Banashankari,"Burger, Fast Food",286,3.9,500.0
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,South Indian,343,4.4,100.0
Bhattara Bhojana,Banashankari,South Indian,66,3.6,150.0
Davanagere Benne Dose Hut,Banashankari,South Indian,10,3.4,100.0
Utsav Restaurant,Banashankari,"North Indian, Chinese",61,3.8,300.0
Messy Bowl,Banashankari,"Fast Food, Beverages",70,3.8,500.0
Devanna Dum Biriyani Centre,Banashankari,"Biryani, South Indian",28,3.6,300.0
Janahaar,Banashankari,South Indian,70,3.8,100.0
Stop 'N' Joy,Banashankari,Fast Food,28,3.8,150.0
Dodda Mane Baaduta,Banashankari,"North Indian, South Indian, Chinese, Biryani",15,3.5,250.0
Chickpet Donne Biryani House,Banashankari,Biryani,131,3.8,250.0
Brahmin Cafe,Banashankari,South Indian,19,3.8,150.0
Chumma Delicious,Banashankari,"South Indian, Fast Food",237,3.7,200.0
Udupi Upachar,Banashankari,"South Indian, North Indian",6,3.3,500.0
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",201,4.1,300.0
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",506,2.8,500.0
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",520,4.1,300.0
Banashankari Donne Biriyani,Banashankari,"Biryani, Fast Food",104,3.8,300.0
Addhuri Udupi Bhojana,Banashankari,"South Indian, North Indian",88,3.7,300.0
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",95,3.6,150.0
Subway,Banashankari,"Salad, Fast Food",136,3.7,600.0
SGS Non Veg - Gundu Pulav,Banashankari,"Biryani, Fast Food",101,3.8,400.0
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",60,4.2,200.0
Hotel Mangala,Banashankari,South Indian,88,3.9,250.0
Simple Thindies,Banashankari,South Indian,8,3.5,200.0
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",145,3.4,300.0
Chilli Flakes,Banashankari,"Fast Food, Italian, Beverages",46,3.6,500.0
Kababs N Biryani,Banashankari,South Indian,22,3.4,200.0
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",57,3.9,200.0
SLV Swadishta,Banashankari,South Indian,189,3.8,300.0
Kolbeh,Banashankari,Fast Food,22,3.7,500.0
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",18,3.6,250.0
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",73,3.7,400.0
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",39,3.8,350.0
Domino's Pizza,Banashankari,"Pizza, Fast Food",540,3.9,800.0
New Sagar Fast Food,Banashankari,"North Indian, South Indian",71,3.6,250.0
Namma Biryani,Banashankari,"Biryani, Chinese, North Indian",24,3.6,250.0
Parama Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",11,3.5,300.0
Thrilok Restaurant,Banashankari,"Mangalorean, Seafood",9,3.4,350.0
Meat And Eat,Banashankari,"Fast Food, Burger",12,3.5,500.0
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",120,3.8,250.0
Dakshin Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",82,3.0,300.0
Chicken Hunt,Banashankari,"South Indian, North Indian, Chinese, Biryani",88,3.5,350.0
Maruthi Davangere Benne Dosa,Banashankari,South Indian,17,4.0,150.0
Pizza Stop,Banashankari,"Pizza, Italian",87,3.0,600.0
Madhappa Hindu Military Hotel,Banashankari,South Indian,14,3.4,300.0
Krishna Sagar,Banashankari,North Indian,31,3.5,200.0
Hanumanthanagar Biryani Junction,Banashankari,South Indian,17,3.5,300.0
Faasos,Banashankari,"North Indian, Biryani, Fast Food",415,4.2,500.0
Rasoi,Banashankari,"North Indian, Chinese",128,3.3,300.0
SLV Refreshment,Banashankari,South Indian,94,4.1,100.0
Kaggis,Banashankari,"Fast Food, Bakery",64,3.8,250.0
Chatar Patar,Banashankari,"Fast Food, Street Food",65,3.7,300.0
Seven Star,Banashankari,"North Indian, Chinese",7,3.4,250.0
SVKP Daily Fresh,Banashankari,South Indian,5,3.3,350.0
Kidambi's Kitchen,Banashankari,South Indian,52,3.5,300.0
Ruchi's Corner,Banashankari,Fast Food,123,2.7,200.0
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",290,3.0,450.0
Utsav,Banashankari,"North Indian, Street Food",59,3.7,200.0
Mane Thindi,Banashankari,South Indian,130,3.7,200.0
Fast And Fresh,Banashankari,"North Indian, Chinese, Fast Food",91,2.8,400.0
New Gowda's Fried Chicken,Banashankari,Biryani,12,3.3,300.0
Juicy Momos,Banashankari,"Tibetan, Momos",80,3.5,250.0
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",441,3.9,400.0
Srinagar Kabab Corner,Banashankari,North Indian,10,3.4,250.0
Sri Venkateshwara Chat Centre,Banashankari,Street Food,12,3.5,100.0
Vinay Bhel Corner,Banashankari,Street Food,7,3.4,100.0
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",8,3.4,300.0
Naveen Kabab & Biriyani Mane,Banashankari,Biryani,9,3.2,300.0
Nandi Chats and Juice,Banashankari,Street Food,47,3.6,150.0
Atithi Point Ande Ka Funda,Banashankari,North Indian,29,3.1,150.0
Just Shawarma,Banashankari,Arabian,66,3.8,300.0
Aramane Donne Biryani,Banashankari,Biryani,28,3.1,200.0
FOOD ADDA,Banashankari,Fast Food,4,3.2,200.0
New Mangalore Lunch Home,Banashankari,"Mangalorean, South Indian, North Indian",7,3.3,200.0
Hotel Nisarga,Banashankari,"North Indian, South Indian",5,3.2,250.0
Coffee Bytes,Banashankari,"Fast Food, South Indian",6,3.1,100.0
Parjanya Chat Zone,Banashankari,"Street Food, Fast Food",17,3.3,200.0
Yo Roll Corner,Banashankari,"Street Food, Rolls",27,3.0,200.0
New Quality Dum Biryani,Banashankari,Biryani,9,3.1,200.0
Sri Lakshmi Kabab Center,Banashankari,Kebab,4,3.3,200.0
Tasty Bites,Banashankari,"Fast Food, Pizza",21,3.7,150.0
Raams Chicken,Banashankari,Andhra,22,3.6,300.0
Panchami,Banashankari,"North Indian, Chinese",15,3.0,300.0
VEGeatz,Banashankari,"South Indian, North Indian",19,3.4,200.0
Grand Food,Banashankari,"South Indian, Bakery, Chinese",8,3.4,250.0
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",84,3.6,250.0
Kavali,Banashankari,"South Indian, Street Food",42,4.0,300.0
Bunt's Biriyani Palace,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",213,3.0,400.0
Funjabi Curries,Banashankari,North Indian,11,2.9,500.0
Udupi Upahar,Banashankari,"South Indian, Chinese, North Indian, Juices",58,3.8,300.0
Ranganna Military Hotel,Jayanagar,"South Indian, Biryani",725,4.2,350.0
Roti Ghar,Basavanagudi,"North Indian, Chinese, South Indian",750,3.9,500.0
Grand Village,Basavanagudi,"North Indian, Rajasthani",166,3.8,600.0
Vidyarthi Bhavan,Basavanagudi,South Indian,4460,4.4,150.0
Bharjari Oota,Basavanagudi,South Indian,153,3.9,350.0
